sight_name,sight_rating,sight_reviews,LAT,LNG,z_sight_review,rec_sights
Hawaiʻi Volcanoes National Park,4.7,7840,19.419369699999997,-155.2884969,2.020816263342544,9.497836437709958
Haleakalā National Park,4.8,6662,20.7096921,-156.25351469999998,1.6244943542712225,7.7975729005018675
Diamond Head,4.7,1250,21.261982999999997,-157.8059987,-0.19629866091892395,-0.9226037063189426
Hanauma Bay,4.6,1185,21.2690358,-157.6937919,-0.2181670175315181,-1.0035682806449833
Nā Pali Coast State Wilderness Park,4.8,1327,22.166745600000002,-159.639244,-0.17039306923938935,-0.8178867323490688
Hana Highway,0.0,0,20.854666100000003,-156.16946819999998,-0.6168439803918884,-0.0
Waimea Canyon State Park,4.9,3125,22.071483899999997,-159.6616774,0.4345193182905226,2.129144659623561
Pearl Harbor National Memorial,4.7,9396,21.3671305,-157.938966,2.54431107702249,11.958262062005705
Pearl Harbor,4.4,748,21.351195800000003,-157.98015230000001,-0.36518966121926644,-1.6068345093647725
Mauna Kea,4.8,789,19.8206105,-155.4680936,-0.3513957747405532,-1.6866997187546555
Kīlauea,4.1,882,19.4068929,-155.2833786,-0.32010720297176465,-1.312439532184235
Kualoa Ranch,4.5,6526,21.520657500000002,-157.83726090000002,1.578739023512564,7.1043256058065385
Iolani Palace,4.6,2999,21.3067572,-157.85876969999998,0.3921283500876478,1.8037904104031797
Polynesian Cultural Center,4.6,11111,21.638950199999996,-157.9198582,3.1212992553393972,14.357976574561226
Lanikai Beach,4.7,3884,21.3930533,-157.715435,0.6898744362745065,3.242409850490181
Waipio Valley,4.7,248,20.1151105,-155.5864427,-0.5334077890084522,-2.5070166083397254
Molokini,4.5,78,20.6309516,-156.49541630000002,-0.5906019524567754,-2.657708786055489
Ala Moana Center,4.4,15889,21.2910621,-157.8434799,4.728791684492856,20.80668341176857
ʻAkaka Falls State Park,4.6,2939,19.8539,-155.1521859,0.3719421747529455,1.7109340038635492
Ko Olina Resort,4.6,426,21.3426133,-158.1253091,-0.4735221355155021,-2.1782018233713094
Kaanapali Beach,4.5,129,20.917831399999997,-156.69662480000002,-0.5734437034222785,-2.5804966654002532
Hanalei Bay,4.8,112,22.2090776,-159.5067583,-0.5791631197671108,-2.7799829748821314
