hotel_name,hotel_url,hotel_price,hotel_rating,hotel_review,LAT,LNG
Hilton Waikoloa Village,https://www.tripadvisor.com/Hotel_Review-g60608-d89980-Reviews-Hilton_Waikoloa_Village-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,314,4.0,10021,19.923984,-155.887487
Kona Seaside Hotel,https://www.tripadvisor.com/Hotel_Review-g60872-d111594-Reviews-Kona_Seaside_Hotel-Kailua_Kona_Island_of_Hawaii_Hawaii.html,202,4.0,1485,19.6411089,-155.9962795
The Westin Hapuna Beach Resort,https://www.tripadvisor.com/Hotel_Review-g2312116-d169643-Reviews-The_Westin_Hapuna_Beach_Resort-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html,729,4.5,4194,19.9950016,-155.8239569
"Fairmont Orchid, Hawaii",https://www.tripadvisor.com/Hotel_Review-g2312116-d113123-Reviews-Fairmont_Orchid_Hawaii-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html,899,4.5,5116,19.950885,-155.859754
Kings' Land by Hilton Grand Vacations,https://www.tripadvisor.com/Hotel_Review-g60608-d1404166-Reviews-Kings_Land_by_Hilton_Grand_Vacations-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,219,4.5,2811,19.9257289,-155.8660939
Volcano House,https://www.tripadvisor.com/Hotel_Review-g143034-d282791-Reviews-Volcano_House-Hawaii_Volcanoes_National_Park_Island_of_Hawaii_Hawaii.html,285,4.0,1231,19.4287416,-155.25836
Volcano Village Lodge,https://www.tripadvisor.com/Hotel_Review-g60607-d611299-Reviews-Volcano_Village_Lodge-Volcano_Island_of_Hawaii_Hawaii.html,380,5.0,754,19.4459061,-155.2314015
Holiday Inn Express Hotel & Suites Kailua-Kona,https://www.tripadvisor.com/Hotel_Review-g60872-d6419881-Reviews-Holiday_Inn_Express_Hotel_Suites_Kailua_Kona-Kailua_Kona_Island_of_Hawaii_Hawaii.html,239,4.5,631,19.6388187,-155.9916719
Dolphin Bay,https://www.tripadvisor.com/Hotel_Review-g60583-d86944-Reviews-Dolphin_Bay-Hilo_Island_of_Hawaii_Hawaii.html,139,4.5,733,35.16442260000001,-120.6897295
Four Seasons Resort Hualalai,https://www.tripadvisor.com/Hotel_Review-g60872-d111582-Reviews-Four_Seasons_Resort_Hualalai-Kailua_Kona_Island_of_Hawaii_Hawaii.html,882,4.5,3497,19.8276739,-155.9916716
Kilauea Hospitality Group,https://www.tripadvisor.com/Hotel_Review-g60607-d87390-Reviews-Kilauea_Hospitality_Group-Volcano_Island_of_Hawaii_Hawaii.html,169,4.0,487,19.442246,-155.235499
Waikoloa Beach Marriott Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60608-d209314-Reviews-Waikoloa_Beach_Marriott_Resort_Spa-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,399,4.0,3358,19.916263,-155.884686
Arnott's Lodge,https://www.tripadvisor.com/Hotel_Review-g60583-d113099-Reviews-Arnott_s_Lodge-Hilo_Island_of_Hawaii_Hawaii.html,120,4.0,688,19.734458,-155.041308
Kohala Suites by Hilton Grand Vacations,https://www.tripadvisor.com/Hotel_Review-g60608-d967966-Reviews-Kohala_Suites_by_Hilton_Grand_Vacations-Waikoloa_Kohala_Coast_Island_of_Hawaii_Hawaii.html,509,4.5,1463,19.9223533,-155.8777893
