sight_name,sight_rating,sight_reviews,LAT,LNG
Hawaiʻi Volcanoes National Park,4.7,7824,19.4193697,-155.2884969
Haleakalā National Park,4.8,6652,20.7096921,-156.2535147
Diamond Head,4.7,1248,21.261983,-157.8059987
Hanauma Bay,4.6,1182,21.2690358,-157.6937919
Nā Pali Coast State Wilderness Park,4.8,1324,22.1667456,-159.639244
Hana Highway,0.0,0,20.8546661,-156.1694682
Waimea Canyon State Park,4.9,3119,22.0714839,-159.6616774
Pearl Harbor National Memorial,4.7,9379,21.3671305,-157.938966
Pearl Harbor,4.4,745,21.3511958,-157.9801523
Mauna Kea,4.8,788,19.8206105,-155.4680936
Kīlauea,4.1,881,19.4068929,-155.2833786
Kualoa Ranch,4.5,6510,21.5206575,-157.8372609
Iolani Palace,4.6,2992,21.3067572,-157.8587697
Polynesian Cultural Center,4.6,11097,21.6389502,-157.9198582
Lanikai Beach,4.7,3876,21.3930533,-157.715435
Waipio Valley,4.7,248,20.1151105,-155.5864427
Molokini,4.5,78,20.6309516,-156.4954163
Ala Moana Center,4.4,15862,21.2910621,-157.8434799
ʻAkaka Falls State Park,4.6,2935,19.8539,-155.1521859
Ko Olina Resort,4.6,425,21.3426133,-158.1253091
Kaanapali Beach,4.5,130,20.9178314,-156.6966248
Hanalei Bay,4.8,112,22.2090776,-159.5067583
Punaluʻu Beach,4.7,260,19.1357578,-155.5047867
Manoa Falls,4.6,311,21.3461111,-157.8016667
Kalalau Trail,0.0,0,22.1958872,-159.6203563
Waimea Bay,4.7,122,21.6415052,-158.0671269
Rainbow Falls,4.6,433,37.6016038,-119.0834655
Sunset Beach,4.6,185,33.7207336,-118.0735739
Bishop Museum,4.6,2043,21.3329195,-157.8706127
Mauna Loa,4.2,631,19.4721389,-155.5922066
Honolulu Zoo,4.2,5578,21.2710896,-157.8214785
"Maui Ocean Center, The Aquarium of Hawaii",4.4,4961,20.7928331,-156.5118377
Sea Life Park Hawaii,4.0,3151,21.3134069,-157.6633398
Makapuʻu Beach,4.7,653,21.3110508,-157.6601154
Wailua Falls,4.6,301,22.0345722,-159.3789015
Waimea Valley,4.5,2648,21.6361111,-158.0540155
Koko Head,4.8,255,21.2775782,-157.6960011
Waianapanapa State Park,4.7,2205,20.7865103,-156.0026796
Iao Valley,4.6,112,20.8800769,-156.5544368
Waikīkī Aquarium,3.9,620,21.2657235,-157.8215484
Kapiʻolani Regional Park,4.6,2539,21.2667349,-157.8187536
Kailua Beach Park,4.7,6102,21.397396,-157.7272179
The Byodo-In Temple,4.7,1459,21.430724,-157.832237
Kealakekua Bay,4.2,62,19.4782437,-155.9259272
Pu'uhonua O Hōnaunau National Historical Park,4.7,3089,19.4215385,-155.9105253
Battleship Missouri Memorial,4.8,7084,21.3621169,-157.9534244
Nu‘uanu Pali,4.5,78,21.3666963,-157.7935449
Ala Moana Regional Park,4.6,3289,21.2899686,-157.847657
Ni‘ihau,4.4,46,21.8921433,-160.1574878
Queen’s Bath,4.6,1799,22.2292315,-159.4874367
Honolua Bay,4.7,120,21.0139474,-156.638533
Kōkeʻe State Park,4.8,927,22.1395756,-159.639393
Pearl Harbor Aviation Museum,4.6,2973,21.359744,-157.961823
Hapuna Beach,4.7,186,19.9922847,-155.8256923
West Maui Mountains,4.2,19,20.893611,-156.589444
USS Bowfin Submarine Museum & Park,4.7,455,21.3687502,-157.9395017
Mahana Beach,4.1,112,18.9388888,-155.6491667
The Pools at 'Ohe'o,4.4,608,20.6633583,-156.0424262
Koʻolau Range,5.0,24,21.45,-157.9
Kīlauea Iki Crater,4.8,24,19.4141068,-155.2479123
Hāpuna Beach State Park,4.8,2693,19.9913871,-155.8250247
Polihale State Park,4.7,905,22.0794713,-159.7647939
Wailea Beach,4.7,1088,20.682848,-156.4429602
Makena Beach,4.7,1305,20.6316217,-156.4447925
